109.08645913,-262.889538826,49.1954005116
109.086869946,-262.893885258,49.1951972986
109.087321779,-262.89831383,49.1949901441
109.08704735,-262.848447512,49.1972976644
109.088864593,-262.589711938,49.2093196483
109.092571816,-262.067596169,49.2336376561
109.098310014,-261.354221551,49.2672447136
109.109640227,-260.112192186,49.3265782809
109.119672928,-258.306691232,49.4129737542
109.130721403,-256.236272435,49.5164027207
109.156245327,-253.601584146,49.6514853452
109.191383079,-250.760949742,49.8004527435
109.233698633,-247.593689205,49.963517422
109.282163501,-244.225252205,50.1317289057
109.333884061,-240.468651844,50.3187729299
109.394939571,-236.524352173,50.4703868934
109.459123947,-232.279822218,50.6251302052
109.539875672,-227.815386556,50.6389733816
109.615983858,-223.092384925,50.5875615444
109.684737558,-218.216538098,50.3441484708
109.220646576,-213.707800904,50.0248469691
107.678616608,-209.745248866,49.6754506122
105.374540753,-205.962788901,49.1918953596
102.741270271,-201.673356125,48.568884955
99.7874627442,-196.782808784,47.5447330048
96.4247691264,-191.160432242,46.1190990048
92.5914185827,-184.637142051,44.1986229984
88.3103990798,-177.218397384,42.1230188424
83.604162001,-168.893367818,40.1442568886
78.5625656477,-159.832921682,38.2930610869
73.2076349729,-150.030610454,36.757232297
67.7150847982,-139.750668219,35.6055071813
63.6508433921,-129.402349024,34.8813725312
62.3249095935,-119.292168339,34.520959006
63.2768761995,-110.007041194,34.4609286419
65.3845252457,-100.83062034,34.6481291545
67.5940963226,-91.3808958152,34.9471528281
68.8560787229,-82.2319441172,35.1373210145
68.6694128141,-73.1022496016,35.2884296162
68.3280687711,-63.5513936483,35.4023804073
68.3062017478,-53.9029900523,35.4983468159
69.5633261197,-44.7563713723,35.6053884362
71.4758828954,-35.3643794676,35.8072777786
73.4952692794,-25.6056854368,36.1874346928
76.1657519146,-16.2916589024,36.8355290634
79.4623174927,-7.03616749626,37.7894343959
82.7672275965,2.19722042488,38.9993691306
86.4674752822,10.2764889681,40.2806685588
91.5345653326,16.6052522322,41.6140340799
97.1376613284,22.1838051434,43.0182191132
102.444159294,27.4939944666,44.438288581
106.438155265,32.7798111832,45.6963078525
109.437351759,38.2731836519,46.8975572612
112.288354097,43.6583750796,48.0112671204
115.021133314,48.9023135531,49.0351377062
117.631681771,54.0042658107,50.0072964937
120.149344386,59.0517858356,50.9487442514
122.572051383,64.0368993456,51.7516100447
124.93700443,69.0481164887,52.5194729071
127.334601412,74.2594043777,53.2680742229
129.737023329,79.6420120662,53.8935256955
131.790142869,84.918022447,54.3790066753
132.260148739,89.9563312075,54.5096150051
